Row #,Common Name,Scientific Name,Country,Taxonomic Order,Family
1,Common Ostrich,Struthio camelus,Kenya,2,"Struthionidae (Ostriches)"
2,Little Tinamou,Crypturellus soui,Colombia,174,"Tinamidae (Tinamous)"
3,White-faced Whistling-Duck,Dendrocygna viduata,Kenya,240,"Anatidae (Ducks, Geese, and Waterfowl)"
6,White-backed Duck,Thalassornis leuconotus,Kenya,262,"Anatidae (Ducks, Geese, and Waterfowl)"
8,Graylag Goose,Anser anser,India,275,"Anatidae (Ducks, Geese, and Waterfowl)"
13,Spur-winged Goose,Plectropterus gambensis,Kenya,429,"Anatidae (Ducks, Geese, and Waterfowl)"
14,Muscovy Duck,Cairina moschata,Costa Rica,445,"Anatidae (Ducks, Geese, and Waterfowl)"
15,Garganey,Spatula querquedula,India,479,"Anatidae (Ducks, Geese, and Waterfowl)"
16,Blue-billed Teal,Spatula hottentota,Kenya,480,"Anatidae (Ducks, Geese, and Waterfowl)"
17,Blue-winged Teal,Spatula discors,Costa Rica,485,"Anatidae (Ducks, Geese, and Waterfowl)"
18,Northern Shoveler,Spatula clypeata,India,501,"Anatidae (Ducks, Geese, and Waterfowl)"
20,Eurasian Wigeon,Mareca penelope,India,512,"Anatidae (Ducks, Geese, and Waterfowl)"
21,Indian Spot-billed Duck,Anas poecilorhyncha,India,540,"Anatidae (Ducks, Geese, and Waterfowl)"
23,Red-billed Duck,Anas erythrorhyncha,Kenya,591,"Anatidae (Ducks, Geese, and Waterfowl)"
25,Green-winged Teal,Anas crecca,India,612,"Anatidae (Ducks, Geese, and Waterfowl)"
26,Andean Teal,Anas andium,Colombia,626,"Anatidae (Ducks, Geese, and Waterfowl)"
29,Common Merganser,Mergus merganser,India,762,"Anatidae (Ducks, Geese, and Waterfowl)"
30,Sickle-winged Guan,Chamaepetes goudotii,Colombia,855,"Cracidae (Guans, Chachalacas, and Curassows)"
31,Crested Guan,Penelope purpurascens,Costa Rica,884,"Cracidae (Guans, Chachalacas, and Curassows)"
32,Andean Guan,Penelope montagnii,Colombia,900,"Cracidae (Guans, Chachalacas, and Curassows)"
35,Colombian Chachalaca,Ortalis columbiana,Colombia,961,"Cracidae (Guans, Chachalacas, and Curassows)"
36,Helmeted Guineafowl,Numida meleagris,Kenya,977,"Numididae (Guineafowl)"
37,Chestnut Wood-Quail,Odontophorus hyperythrus,Colombia,1157,"Odontophoridae (New World Quail)"
40,Himalayan Monal,Lophophorus impejanus,India,1257,"Phasianidae (Pheasants, Grouse, and Allies)"
41,Koklass Pheasant,Pucrasia macrolopha,India,1264,"Phasianidae (Pheasants, Grouse, and Allies)"
43,Cheer Pheasant,Catreus wallichii,India,1515,"Phasianidae (Pheasants, Grouse, and Allies)"
44,Kalij Pheasant,Lophura leucomelanos,India,1529,"Phasianidae (Pheasants, Grouse, and Allies)"
45,Indian Peafowl,Pavo cristatus,India,1573,"Phasianidae (Pheasants, Grouse, and Allies)"
46,Green Peafowl,Pavo muticus,Vietnam,1575,"Phasianidae (Pheasants, Grouse, and Allies)"
47,Scaly-breasted Partridge,Tropicoperdix chloropus,Vietnam,1580,"Phasianidae (Pheasants, Grouse, and Allies)"
49,Germain's Peacock-Pheasant,Polyplectron germaini,Vietnam,1605,"Phasianidae (Pheasants, Grouse, and Allies)"
51,Crested Francolin,Ortygornis sephaena,Kenya,1632,"Phasianidae (Pheasants, Grouse, and Allies)"
52,Gray Francolin,Ortygornis pondicerianus,India,1639,"Phasianidae (Pheasants, Grouse, and Allies)"
54,Coqui Francolin,Campocolinus coqui,Kenya,1660,"Phasianidae (Pheasants, Grouse, and Allies)"
57,Common Quail,Coturnix coturnix,India,1738,"Phasianidae (Pheasants, Grouse, and Allies)"
59,Chukar,Alectoris chukar,India,1765,"Phasianidae (Pheasants, Grouse, and Allies)"
60,Jungle Bush-Quail,Perdicula asiatica,India,1792,"Phasianidae (Pheasants, Grouse, and Allies)"
63,Hildebrandt's Spurfowl,Pternistis hildebrandti,Kenya,1825,"Phasianidae (Pheasants, Grouse, and Allies)"
64,Yellow-necked Spurfowl,Pternistis leucoscepus,Kenya,1839,"Phasianidae (Pheasants, Grouse, and Allies)"
66,Rock Pigeon,Columba livia,India,1853,"Columbidae (Pigeons and Doves)"
69,Ashy Wood-Pigeon,Columba pulchricollis,India,1908,"Columbidae (Pigeons and Doves)"
71,Pale-vented Pigeon,Patagioenas cayennensis,Costa Rica,1940,"Columbidae (Pigeons and Doves)"
73,Band-tailed Pigeon,Patagioenas fasciata,Costa Rica,1966,"Columbidae (Pigeons and Doves)"
74,Ruddy Pigeon,Patagioenas subvinacea,Costa Rica,1987,"Columbidae (Pigeons and Doves)"
75,Short-billed Pigeon,Patagioenas nigrirostris,Costa Rica,1999,"Columbidae (Pigeons and Doves)"
76,Oriental Turtle-Dove,Streptopelia orientalis,India,2022,"Columbidae (Pigeons and Doves)"
77,Eurasian Collared-Dove,Streptopelia decaocto,India,2031,"Columbidae (Pigeons and Doves)"
80,Ring-necked Dove,Streptopelia capicola,Kenya,2051,"Columbidae (Pigeons and Doves)"
81,Red Collared-Dove,Streptopelia tranquebarica,India,2059,"Columbidae (Pigeons and Doves)"
82,Spotted Dove,Spilopelia chinensis,India,2064,"Columbidae (Pigeons and Doves)"
83,Laughing Dove,Spilopelia senegalensis,India,2071,"Columbidae (Pigeons and Doves)"
85,Emerald-spotted Wood-Dove,Turtur chalcospilos,Kenya,2151,"Columbidae (Pigeons and Doves)"
87,Asian Emerald Dove,Chalcophaps indica,India,2162,"Columbidae (Pigeons and Doves)"
88,Zebra Dove,Geopelia striata,Vietnam,2232,"Columbidae (Pigeons and Doves)"
91,Ruddy Ground Dove,Columbina talpacoti,Costa Rica,2268,"Columbidae (Pigeons and Doves)"
93,Gray-chested Dove,Leptotila cassinii,Costa Rica,2347,"Columbidae (Pigeons and Doves)"
94,Buff-fronted Quail-Dove,Zentrygon costaricensis,Costa Rica,2372,"Columbidae (Pigeons and Doves)"
95,White-throated Quail-Dove,Zentrygon frenata,Colombia,2375,"Columbidae (Pigeons and Doves)"
97,Eared Dove,Zenaida auriculata,Colombia,2400,"Columbidae (Pigeons and Doves)"
98,Gray-fronted Green-Pigeon,Treron affinis,India,2496,"Columbidae (Pigeons and Doves)"
100,Yellow-footed Green-Pigeon,Treron phoenicopterus,India,2526,"Columbidae (Pigeons and Doves)"
102,African Green-Pigeon,Treron calvus,Kenya,2548,"Columbidae (Pigeons and Doves)"
103,Tibetan Sandgrouse,Syrrhaptes tibetanus,India,2862,"Pteroclidae (Sandgrouse)"
106,Yellow-throated Sandgrouse,Pterocles gutturalis,Kenya,2880,"Pteroclidae (Sandgrouse)"
107,Black-faced Sandgrouse,Pterocles decoratus,Kenya,2889,"Pteroclidae (Sandgrouse)"
108,Painted Sandgrouse,Pterocles indicus,India,2906,"Pteroclidae (Sandgrouse)"
110,Asian Houbara,Chlamydotis macqueenii,India,2926,"Otididae (Bustards)"
112,Buff-crested Bustard,Lophotis gindiana,Kenya,2951,"Otididae (Bustards)"
113,Black-bellied Bustard,Lissotis melanogaster,Kenya,2958,"Otididae (Bustards)"
114,Hartlaub's Bustard,Lissotis hartlaubii,Kenya,2961,"Otididae (Bustards)"
117,Eastern Plantain-eater,Crinifer zonurus,Kenya,2980,"Musophagidae (Turacos)"
118,White-crested Turaco,Tauraco leucolophus,Kenya,2999,"Musophagidae (Turacos)"
119,Schalow's Turaco,Tauraco schalowi,Kenya,3003,"Musophagidae (Turacos)"
120,Hartlaub's Turaco,Tauraco hartlaubi,Kenya,3010,"Musophagidae (Turacos)"
122,Blue-headed Coucal,Centropus monachus,Kenya,3104,"Cuculidae (Cuckoos)"
124,Greater Coucal,Centropus sinensis,India,3121,"Cuculidae (Cuckoos)"
125,Sirkeer Malkoha,Taccocua leschenaultii,India,3166,"Cuculidae (Cuckoos)"
126,Blue-faced Malkoha,Phaenicophaeus viridirostris,India,3182,"Cuculidae (Cuckoos)"
127,Green-billed Malkoha,Phaenicophaeus tristis,India,3186,"Cuculidae (Cuckoos)"
128,Chestnut-winged Cuckoo,Clamator coromandus,India,3202,"Cuculidae (Cuckoos)"
129,Pied Cuckoo,Clamator jacobinus,India,3205,"Cuculidae (Cuckoos)"
130,Common Squirrel-Cuckoo,Piaya cayana,Costa Rica,3218,"Cuculidae (Cuckoos)"
131,Asian Koel,Eudynamys scolopaceus,India,3269,"Cuculidae (Cuckoos)"
132,Klaas's Cuckoo,Chrysococcyx klaas,Kenya,3304,"Cuculidae (Cuckoos)"
133,Banded Bay Cuckoo,Cacomantis sonneratii,Vietnam,3360,"Cuculidae (Cuckoos)"
